Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Vałaršak Aršakuni,Վաղարշակ [vałaršak],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 420 – 421.","Younger son of king Pap and queen Zarmanduχt, king of Greater Armenia ca. 378-379, enthroned together with his elder brother Aršak III under the regency of their mother by the sparapet (commander-in-chief) Manuēl Mamikonean"
Valens,Վաղես [vałēs],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 421.
","Roman emperor (364 - 378) who shared the empire with his brother Valentinian the ruler of the West. He initiated the reconquest of the eastern territories lost by the Romans at the peace of 363, placing Pap and subsequently Varazdat on the throne of Armenia. He was miraculously slain by Sts. Sergius and Theodore"
Vałinak I Siwni,Վաղինակ [vałinak],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 421 – 422.","Armenian naχarar (nobleman) and commander of the Armenian army from the house of Siwni, king Xosrov Kotak's ""favorite"" that received marcher-lord (bdeašχ) Bakur's title, domain and daughter after suppression of  the latter's uprising (then the inheritance returned to Bakur's son Xeša)"
Vałinak II Siwni,Վաղինակ [vałinak],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 422.","Sepuh (noble member) of the house of Siwni, who survived the Persian massacre of his family; Babik's youngest brother"
Varaz,Վարազ [varaz],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 422.",Persian general defeated and killed by Manuēl Mamikonean
Varaz of Copʿkʿ Šahuni/Šahēi,Վարազ [varaz],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 422.","Prince of  Copʿkʿ Šahēi and successor of Nerseh, nahapet (the head) of the house under Xosrov Kotak. He accompanied Yusik I to his consecration at Caesaria "
Varaz Dimakʿsean,Վարազ [varaz],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 423.","Nahapet (the head) of the Dimakʿsean house, the only member mentioned in the books. He was sent together with some princes to bring Daniēl to king Tiran for further consecration"
Varaz Kaminakan,Վարազ [varaz],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 423.","Armenian naχarar (nobleman) and commander, who is given as a companion in arms of the sparapet (commander-in-chief) Vačʿē I Mamikonean"
Varaz-šapuh/Šapuh-varaz,Վարազ Շապուհ [varaz šapuh] / Շապուհ Վարազ [šapuh varaz] ,P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 423.",Persian marzpan (warden-of-the-marches) of Atrpatakan and commander in the war that ended the reign of king Tiran
Varazdat Aršakuni,Վարազդատ [varazdat],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 423 – 424.","Aršakuni king of Armenia, named by the emperor Valens to succeed Pap. He believed the slander against the sparapet (commander-in-chief) Mušēł Mamikonean and had him killed, then attempted to transfer the heredirary office of sparapet to his tutor (dayeak), Bat Sahaṙuni, and so was driven from Armenia by Mušēł's kinsman, Manuēl and was constrained to take refuge in Byzantium"
Varazduχt Aršakuni,Վարազդուխտ [varazduχt],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 424.",Aršakuni princess and wife of Pap that left no children; also sister of king Tiran
Vardan I Mamikonean,Վարդան [vardan],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 424 – 425.","Nahapet (the head) of the Mamikonean house and elder brother of the sparapet (commander-in-chief) Vasak, tutor (dayeak) of Aršak II, one of the magnates accompanying Nersēs I to the Byzantine court. He sided with the pro-Persian party, in opposition with Vasak, was an ambassador between Šāhpuhr II and Aršak II. Took part in decoying of Aršak's nephew, Gnel, to his death and hen was killed by Vasak by the order of Gnel's widow, Queen Pʿaṙanjem "
Vardan II Mamikonean,Վարդան [vardan],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 425.",Sepuh (noble member) of the Mamikonean house and posthumous son of Vardan I
Vardanduχt,Վարդանդուխտ [vardanduχt],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 425 – 426.","Queen of Armenia as wife of Aršak III, daughter of the sparapet (commander-in-chief) Manuēl Mamikonean and Vardanoyš"
Vardanoyš,Վարդանոյշ [vardanoyš],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 426.","Wife of the sparapet (commander-in-chief) Manuēl Mamikonean and mother of Artašēs/Artašir, Hmayeak and Vardanduχt"
Vasak Mamikonean,Վասակ [vasak],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 426 – 427.",Sepuh (noble member) of the Mamikonean house and sparapet (commander-in-chief) of Armenia from the latter part of the reign of king Tiran to the end of that of Aršak II (until king's imprisonment in Persia and Vasak's own death). Tanuter (master/lord of the house) of the Mamikonean after the murder of his brother Vardan I. Won many victories in battles against Persians
Vin,Վին [vin],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 427.","Persian commander against Aršak II, defeated by the king"
Vorotʿ of Vanand,Վորոթ [vorotʿ] / Որութ [orutʿ],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 427.","Prince of Vanand (presumably suceeded by Artawan), who accompanied Yusik I to his consecration at Caesaria"
Vrik,Վրիկ [vrik],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 427.","Illegitimate son of Pap, born of a concubine from Hacʿeacʿ"
Vrkēn Habužean,Վրկէն [vrkēn],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 427.",Nahapet (the head) of the Habužean family who accompanied Nersēs I on his embassy to the Byzantine court in 358
Vrtʿanēs,Վրթանէս [vrtʿanēs],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 427 – 428.",Elder son and second successor of Gregory the Iluminator as patriarch of Greater Armenia (333 - 341). Was buried at  Tʿordan in the patriarchal domain of Daranałikʿ
Xad of Marag,Խադ [χad],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 428.","Disciple and deacon of Nersēs I I, who ordained him bishop of Bagrewand and Aršarunikʿ and whom he left as vicar during his exile. Supervisor of patriarch's charitable foundations. His support of Nersēs's orthodox position brought him into conflict with the Arianizing Armenian court and driving out from the royal camp"
Xeša of Ałjnikʿ,Խեշա [χeša],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 428.","Only surviving son of the marcher-lord (bdeašχ) Bakur, was saved by Vačʿē I Mamikonean and regained fathers' domain Ałjnikʿ, that was before granted to Vałinak Siwni together with the title of bdeašχ"
Xoṙχoṙuni/Małχazuni (house),Խոռխոռունի [χoṙχoṙuni] / Մաղխազունի [małχazuni],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 429.","Great naχarar (noble) house (also knows as Maχazuni from its hereditary titile of maχaz (prince, lord)) of a tribal origin. Dynasts of northwest of Lake Van"
Xosrov I/II Kʿaǰ,Խոսրով [χosrov],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 429.","Aršakuni king of Armenia (279/280 - 287?), father of Trdat the Great and grandfather of Xosrov Kotak"
Xosrov II/III Kotak,Խոսրով Կոտակ [χosrov kotak],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 429 – 430.","Aršakuni king of Armenia (330 - 338/339, according to the books, he reigned nine years), son of Trdat the Great and father of Tiran. His reign was marked my many naχarar (noblemen's) rebellions"
Xosrov III/IV,Խոսրով [χosrov],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 430.","Sepuh (noble member) of the Aršakuni house, appoited king of Armenia (after the death of Vałaršak) by the Persian king having given him his sister in marriage"
Yusik I,Յուսիկ [yusik],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 431 – 432.","Patriarch of Armenia under King Tiran (341-347?), son of Vrtʿanēs, grandson of St. Gregory the Illuminator"
Yusik II,Յուսիկ [yusik],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 432.","Descendant of Ałbianos of Manazkert, presumably appointed patriarch of Armenia by King Pap after the murder of Nersēs I and refused recognition by Caesaria of Cappadocia, where the Armenian patriarchs had been consecrated up to that time"
Zareh of Copʿkʿ Mec,Զարեհ [zareh],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 432.","Prince of Copʿkʿ Mec, who accompanied Yusik I to his consecration at Caesaria"
Zarmanduχt,Զարմանդուխտ [zarmanduχt],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 433.","Queen of Armenia, wife of King Pap. After the expulsion of  King Varazdat, she was maintained by Manuēl Mamikonean on her throne as a nominal regent for her sons Aršak III and Vałaršak "
Zawēn,Զաւէն [zawēn],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 433.",Descendant of Ałbianos of Manazkert and patriarch of Armenia following after Yusik II or Šahak of Manazkert
Zik,Զիկ [zik],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 433 – 434.","One of the great families in Iran. Hier three members of the family are refered to in the books: a Persian commander killed in the war against Aršak II (4th book, ch. 35-36); another Persian commander sent together with Karen by Šāhpuhr II to capture the Armenian royal fortress of Artagers (4th book, ch. 55, 58; 5th bok);  the representative of the Persian king sent as an adviser to Xosrov III/IV at the time of the partition of Armenia (6th book)"
Zortʿ,Զորթ [zortʿ],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 434.",Presumably a bishop and collaborator of St. Nersēs
Zortʿuaz,Զորթուազ [zortʿuaz],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 434.",Bishop of Vanand
Zruanduχt,Զրուանդուխտ [zruanduχt],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 434.","Queen of Eastern Armenia, wife of Xosrov III/IV, previously a Sasanian princess, probably the daughter of Šāhpuhr II and the sister of Šāhpuhr III"
Zuitʿ,Զուիթ [zuitʿ],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 434.",Priest of Artašat and disciple of St. Nersēs. He was captured by the Persians at the time of the sack of the Armenian capital by the Sasanians and subsequntly martyred in Persia
"Abraham, bishop","Աբրահամ, եպիսկոպոս [Abraham, episkopos]",Laz.Parp_Letter to Vahan Mam.,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 484, 485, 520.","There are different points of view about his personality. He is compared either with Abram Hostovanokh (Zenakatsi), or with Bishop Abraham from the nakharar family of Mamikonyan, from whom the letter to Vachagan the Pious, the king of Aluank, and ""The stories of the remaining Armenians"" (""Հայոց մնացորդաց պատմութիւնք"" - the authenticity is doubtful) have been preserved. Both versions are hypothetical, since Ghazar Parpetsi does not report anything specific for unambiguous conclusions."
"Abraham, presbyter","Աբրահամ, երէց [Abraham, erēcʿ]",Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 224-227, 252-257.","A priest from the village of Zenax in the Tayk region (""gavar"", according to Ghazar Parpetsi)."
"Abraham, deacon","Աբրահամ, սարկաւագ [Abraham, sarkawag]",Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 178, 179, 182-185, 208, 209.","The holy martyr, the deacon from the village of Aratso (according to Elishe, in the province of Ayrarat), the adoptive son of the Priest Samuel. By order of the Sassanid king Yazdegerd, he was executed along with Samuel in the Vardges region (in Bactria, the east of Khorasan, near Pahl-Shakhastan; J. Markwart specified the name of the region: Vatges or Vadges) due to the fact that they allegedly extinguished fire with water in the Artashat."
Agathangelos,Ագաթանգեղոս [Agatʿangełos],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 6-11.","Armenian historian of the 5th century, the author of ""The History of Armenia""."
Athanasius of Alexandria,Աթանաս Աղեքսանդրացի [Atʿanas Ałekʿsandracʿi],Laz.Parp_Letter to Vahan Mam.,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 462, 463.",One of the Church Fathers.
Atik,Աթիկ [Atʿik],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 290, 291.","A priest from the village of Bjni (a village and a city on the banks of the Hrazdan river, in the region of the province of Ayrarat; in the area of ​​modern Aparan)."
Akit,Ակիթ [Akitʿ],Laz.Parp_Letter to Vahan Mam.,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 468, 469.",Someone from the Monastery of Gardman (in Utik province).
Aghan Artsruni,Աղան Արծրունի [Ałan Arcruni],"Laz.Parp_Hist.Arm
Laz.Parp_Letter to Vahan Mam.",5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 14, 15, 100, 101, 148, 149, 452, 453, 484, 485, 520.","A student of the School of Sahak the Parthian and Mesrop Mashtots. He was a teacher of representatives of noble families Kamsarakan, Mamikonyans and in the house of Ashusha, the bdeshkh of Gugark. Among his students are his sister Dzvik and her husband Hmayak Mamikonyan, Ghazar Parpetsi and Anushvram, the wife of the bdeshkh Ashusha. He was a mentor of Vahan Mamikonyan. The son of Vasak, brother of Tatchat and Gotorz. A participant of the Council of Artashat in 449. He was buried in Hadamakert (Artsruni’s family estate in the Albak region of the Vaspurakan province; presumably, on the site of modern Başkale in the upper reaches of the Great Zab river)."
Anak the Parthian,Անակ Պարթեւ [Anak Partʿew],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 8, 9.",the father of Gregory the Illuminator from the Parthian family. He killed the Armenian king Khosrov Arshakuni.
Anania,Անանիա [Anania],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101.","The bishop of Syunik, a participant of the Council of Artashat (449)."
Anatol,Անատոլ [Anatol],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 104, 105.",the commander of Antiochia.
Andekan,Անդեկան [Andekan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 428-433.",The marzpan of Armenia.
Andul,Անդուլ [Andul],Laz.Parp_Letter to Vahan Mam.,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 468, 469.",-
Anushvram,"Անուշվռամ, Անուշ-Վռամ [Anušvṙam, Anuš-Vṙam]","Laz.Parp_Hist.Arm
Laz.Parp_Letter to Vahan Mam.",5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 266, 267, 452, 453.","The wife of the bdeshkh Ashusha, the sister of Dzvik Artsruni."
Ashtat,Աշտատ [Aštat],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 258-261, 274, 275.",Yazatvshnasp's father from the House of Mihran.
Ashusha,Աշուշա [Ašuša],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 108, 109, 120, 121, 128, 129, 138, 139, 256-259, 266, 267, 498-497.","The Georgian bdeshkh, mentioned earlier as an bdeshkh of Gugark (according to Koryun). Probably, in 428 Gugark become a part of Georgia, as in connection with the uprising in 450-451 A.D. Ashusha was mentioned as the bdeshkh of Georgia."
Apollinaris of Laodicea,Ապողինարոս Լաւոդիկեցի [Apołinaros Lawodikecʿi],Laz.Parp_Letter to Vahan Mam.,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 462, 463.","The bishop of Laodicea in Syria, theologian, the opponent of Arianism."
Aprsam Artsruni,Ապրսամ Արծրունի [Aprsam Arcruni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 176, 177, 204, 205.",The prince from the Artsruni family was captured by order of the Sassanid king Yazdegerd.
Arandzar Amatuni,Առանձար Ամատունի [Aṙanjar Amatuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 160, 161, 204, 205.","The sepuh from the Amatuni family, was captured by order of the Sassanid king Yazdegerd."
Arastom Gnuni,Առաստոմ Գնունի [Aṙastom Gnuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 296, 297, 300-305.","A representative of the Gnuni family, a brother of Atom. He died with his brother during the uprising of Vahan Mamikonyan."
Aravan Ałberkatsi,Առաւան Աղբեւրկացի [Aṙawan Ałbewrkacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 392,393.",One of the delegates of Vahan Mamikonyan in the peace negotiations with the Persian commander Nikhor.
Aravan Andzevatsi,Առաւան Անձևացի [Aṙawan Anjewacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The nakharar from the Andzevatsi family, was captured by order of the Sassanid king Yazdegerd."
Aravan of Vananda,Առաւան Վանանդացի [Aṙawan Vanandacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101.","Varanda’s owner, a participant of the Council of Artashat (449)."
